iter	Passed	Remaining
0	23	2340
1	44	2175
2	63	2039
3	79	1914
4	97	1845
5	114	1788
6	130	1727
7	146	1687
8	164	1663
9	181	1633
10	198	1603
11	215	1580
12	232	1556
13	249	1534
14	267	1513
15	283	1487
16	302	1475
17	319	1454
18	336	1433
19	354	1419
20	373	1406
21	390	1383
22	408	1366
23	425	1346
24	445	1335
25	461	1313
26	478	1293
27	500	1288
28	520	1274
29	540	1260
30	558	1242
31	574	1221
32	589	1197
33	606	1177
34	623	1158
35	641	1140
36	659	1122
37	676	1103
38	693	1084
39	710	1065
40	724	1042
41	741	1023
42	760	1008
43	776	988
44	795	971
45	812	954
46	829	935
47	847	918
48	865	900
49	882	882
50	899	864
51	917	846
52	934	828
53	953	812
54	970	793
55	986	775
56	1005	758
57	1037	751
58	1055	733
59	1072	715
60	1088	695
61	1105	677
62	1122	659
63	1139	640
64	1155	622
65	1172	604
66	1189	585
67	1205	567
68	1222	549
69	1239	531
70	1255	512
71	1273	495
72	1290	477
73	1305	458
74	1321	440
75	1340	423
76	1357	405
77	1373	387
78	1391	369
79	1407	351
80	1424	334
81	1441	316
82	1457	298
83	1473	280
84	1490	262
85	1506	245
86	1526	228
87	1549	211
88	1568	193
89	1584	176
90	1601	158
91	1619	140
92	1638	123
93	1655	105
94	1673	88
95	1691	70
96	1707	52
97	1722	35
98	1738	17
99	1755	0
