iter	RMSE
0	9444.642717
1	9138.128651
2	8841.575527
3	8566.316047
4	8321.833784
5	8072.564677
6	7848.321275
7	7631.313833
8	7417.312219
9	7228.690574
10	7038.298022
11	6856.28158
12	6694.231078
13	6535.86755
14	6399.283641
15	6267.68919
16	6150.658427
17	6023.189489
18	5915.770945
19	5817.400624
20	5723.181105
21	5637.607615
22	5547.775922
23	5449.746119
24	5359.480578
25	5274.192474
26	5193.69603
27	5121.126724
28	5048.164934
29	4995.653171
30	4938.291774
31	4883.417081
32	4827.38761
33	4771.668654
34	4702.999647
35	4654.772661
36	4599.305448
37	4556.342096
38	4521.796639
39	4479.672782
40	4446.495192
41	4396.66613
42	4354.484873
43	4318.391427
44	4265.382607
45	4223.011134
46	4187.582361
47	4161.490521
48	4135.822105
49	4105.907034
50	4073.108884
51	4046.862383
52	4017.002991
53	3982.83441
54	3951.162832
55	3928.990519
56	3903.440841
57	3884.391244
58	3859.428449
59	3832.811041
60	3813.11937
61	3788.152433
62	3771.121299
63	3742.685889
64	3721.108067
65	3693.846485
66	3675.49538
67	3648.862432
68	3630.899992
69	3615.350884
70	3602.244108
71	3576.376709
72	3553.782448
73	3542.708781
74	3523.214969
75	3506.073023
76	3487.791514
77	3477.444262
78	3453.744714
79	3443.028932
80	3433.342033
81	3421.50656
82	3399.677913
83	3388.481298
84	3371.120754
85	3360.051278
86	3349.910601
87	3335.183263
88	3324.188771
89	3310.784618
90	3302.165304
91	3283.482762
92	3271.109639
93	3260.113108
94	3243.560251
95	3229.092527
96	3217.553255
97	3203.976889
98	3199.365577
99	3190.674487
