iter	Passed	Remaining
0	185	185064
1	220	110278
2	261	86981
3	296	73817
4	330	65742
5	364	60329
6	403	57282
7	441	54780
8	479	52755
9	524	51911
10	564	50708
11	600	49446
12	636	48303
13	679	47828
14	710	46670
15	750	46138
16	798	46163
17	841	45916
18	882	45568
19	923	45240
20	963	44919
21	1007	44780
22	1044	44354
23	1078	43863
24	1116	43534
25	1150	43085
26	1185	42712
27	1219	42329
28	1255	42037
29	1291	41745
30	1328	41523
31	1362	41200
32	1409	41295
33	1448	41155
34	1480	40815
35	1522	40755
36	1557	40538
37	1594	40358
38	1632	40232
39	1676	40233
40	1713	40070
41	1750	39920
42	1794	39942
43	1836	39902
44	1879	39884
45	1928	39991
46	1969	39935
47	2015	39973
48	2057	39937
49	2101	39930
50	2133	39703
51	2173	39626
52	2215	39593
53	2248	39383
54	2291	39366
55	2333	39332
56	2373	39259
57	2410	39150
58	2446	39015
59	2481	38876
60	2527	38899
61	2572	38912
62	2602	38706
63	2636	38565
64	2680	38563
65	2715	38430
66	2757	38403
67	2790	38251
68	2831	38204
69	2871	38146
70	2915	38146
71	2961	38169
72	3007	38193
73	3054	38220
74	3089	38106
75	3136	38132
76	3181	38135
77	3226	38137
78	3266	38076
79	3308	38042
80	3347	37978
81	3383	37879
82	3430	37904
83	3477	37924
84	3516	37856
85	3560	37838
86	3607	37858
87	3652	37856
88	3686	37731
89	3728	37696
90	3774	37704
91	3818	37690
92	3860	37648
93	3901	37604
94	3940	37542
95	3988	37557
96	4029	37511
97	4075	37509
98	4119	37491
99	4155	37402
100	4193	37326
101	4233	37272
102	4276	37242
103	4317	37200
104	4363	37191
105	4408	37179
106	4457	37202
107	4496	37137
108	4536	37080
109	4585	37097
110	4629	37074
111	4674	37059
112	4706	36943
113	4752	36935
114	4791	36871
115	4834	36845
116	4879	36829
117	4927	36830
118	4962	36737
119	5006	36711
120	5047	36670
121	5083	36584
122	5127	36558
123	5177	36573
124	5215	36505
125	5260	36489
126	5295	36400
127	5334	36344
128	5388	36385
129	5432	36355
130	5474	36315
131	5520	36301
132	5565	36277
133	5609	36249
134	5654	36227
135	5690	36153
136	5729	36092
137	5774	36071
138	5806	35968
139	5854	35962
140	5897	35930
141	5938	35882
142	5984	35864
143	6031	35856
144	6076	35828
145	6118	35790
146	6161	35754
147	6202	35708
148	6237	35625
149	6282	35598
150	6327	35578
151	6375	35569
152	6424	35567
153	6471	35549
154	6516	35523
155	6552	35448
156	6601	35444
157	6642	35399
158	6675	35311
159	6722	35291
160	6765	35254
161	6812	35242
162	6847	35161
163	6888	35112
164	6932	35080
165	6977	35055
166	7024	35036
167	7065	34992
168	7108	34953
169	7153	34926
170	7186	34839
171	7232	34814
172	7274	34773
173	7318	34741
174	7356	34681
175	7398	34636
176	7437	34582
177	7484	34563
178	7530	34540
179	7575	34512
180	7624	34501
181	7658	34420
182	7701	34385
183	7747	34356
184	7791	34324
185	7823	34237
186	7868	34210
187	7903	34138
188	7945	34095
189	7983	34034
190	8027	34002
191	8073	33975
192	8121	33959
193	8162	33910
194	8208	33886
195	8253	33854
196	8292	33802
197	8328	33735
198	8373	33703
199	8407	33630
200	8456	33616
201	8497	33569
202	8543	33542
203	8591	33522
204	8630	33470
205	8678	33450
206	8722	33415
207	8766	33379
208	8808	33336
209	8842	33264
210	8888	33238
211	8933	33205
212	8968	33137
213	9013	33107
214	9045	33025
215	9085	32976
216	9133	32955
217	9180	32932
218	9214	32860
219	9260	32831
220	9300	32783
221	9344	32749
222	9388	32712
223	9430	32670
224	9475	32636
225	9509	32567
226	9550	32522
227	9595	32491
228	9636	32444
229	9681	32413
230	9723	32369
231	9771	32346
232	9815	32309
233	9852	32252
234	9899	32225
235	9939	32176
236	9979	32126
237	10021	32085
238	10059	32030
239	10099	31981
240	10143	31944
241	10189	31915
242	10225	31855
243	10273	31830
244	10315	31789
245	10360	31754
246	10406	31724
247	10441	31661
248	10485	31624
249	10525	31575
250	10564	31525
251	10608	31487
252	10652	31453
253	10698	31421
254	10730	31350
255	10775	31316
256	10820	31282
257	10864	31246
258	10909	31210
259	10954	31179
260	10996	31136
261	11037	31089
262	11079	31048
263	11125	31017
264	11172	30986
265	11207	30925
266	11248	30879
267	11286	30828
268	11326	30780
269	11366	30731
270	11407	30687
271	11454	30656
272	11499	30621
273	11545	30591
274	11594	30568
275	11635	30522
276	11681	30489
277	11726	30455
278	11770	30418
279	11805	30357
280	11841	30298
281	11873	30232
282	11918	30195
283	11958	30148
284	11994	30091
285	12035	30046
286	12086	30027
287	12123	29970
288	12168	29936
289	12202	29875
290	12246	29836
291	12287	29793
292	12322	29734
293	12362	29687
294	12403	29643
295	12448	29607
296	12488	29561
297	12526	29508
298	12556	29438
299	12597	29394
300	12635	29343
301	12673	29292
302	12716	29252
303	12758	29210
304	12803	29174
305	12844	29131
306	12883	29082
307	12925	29039
308	12966	28996
309	13012	28963
310	13051	28914
311	13096	28878
312	13132	28823
313	13172	28777
314	13217	28743
315	13258	28699
316	13302	28661
317	13346	28624
318	13390	28585
319	13422	28522
320	13474	28501
321	13516	28459
322	13565	28433
323	13603	28382
324	13645	28340
325	13683	28291
326	13730	28258
327	13775	28222
328	13820	28187
329	13869	28158
330	13909	28112
331	13944	28056
332	13988	28018
333	14034	27985
334	14068	27926
335	14119	27902
336	14162	27863
337	14197	27806
338	14232	27752
339	14277	27715
340	14322	27679
341	14365	27638
342	14405	27592
343	14443	27543
344	14486	27503
345	14529	27462
346	14570	27419
347	14612	27378
348	14641	27311
349	14681	27266
350	14721	27219
351	14760	27171
352	14792	27112
353	14835	27073
354	14873	27023
355	14912	26976
356	14946	26920
357	14985	26873
358	15029	26835
359	15064	26780
360	15109	26745
361	15147	26696
362	15188	26652
363	15229	26609
364	15267	26561
365	15304	26511
366	15345	26468
367	15380	26414
368	15412	26355
369	15455	26316
370	15500	26279
371	15535	26226
372	15579	26189
373	15625	26153
374	15667	26113
375	15695	26048
376	15737	26006
377	15781	25968
378	15828	25934
379	15869	25892
380	15905	25840
381	15950	25804
382	15993	25765
383	16027	25711
384	16071	25672
385	16103	25616
386	16143	25571
387	16192	25541
388	16232	25495
389	16269	25446
390	16304	25394
391	16348	25356
392	16387	25311
393	16424	25261
394	16469	25225
395	16514	25189
396	16551	25139
397	16593	25098
398	16630	25049
399	16676	25014
400	16714	24967
401	16759	24930
402	16802	24891
403	16843	24847
404	16878	24797
405	16921	24757
406	16967	24721
407	17009	24680
408	17049	24636
409	17085	24587
410	17130	24550
411	17165	24497
412	17215	24468
413	17252	24419
414	17293	24377
415	17333	24333
416	17377	24295
417	17411	24243
418	17455	24204
419	17494	24159
420	17532	24112
421	17577	24075
422	17614	24027
423	17659	23990
424	17705	23954
425	17745	23909
426	17786	23868
427	17828	23826
428	17863	23776
429	17904	23733
430	17946	23692
431	17979	23639
432	18018	23594
433	18060	23553
434	18103	23513
435	18137	23462
436	18179	23420
437	18223	23382
438	18268	23344
439	18306	23299
440	18350	23260
441	18391	23218
442	18428	23170
443	18465	23123
444	18508	23083
445	18545	23036
446	18585	22992
447	18623	22946
448	18656	22894
449	18700	22856
450	18726	22795
451	18764	22749
452	18800	22701
453	18844	22662
454	18889	22625
455	18931	22584
456	18966	22536
457	19003	22489
458	19044	22446
459	19085	22405
460	19127	22363
461	19168	22321
462	19205	22274
463	19257	22245
464	19301	22207
465	19345	22168
466	19382	22122
467	19426	22083
468	19464	22037
469	19500	21990
470	19537	21943
471	19574	21897
472	19619	21859
473	19660	21817
474	19702	21776
475	19735	21725
476	19779	21686
477	19812	21636
478	19851	21591
479	19887	21544
480	19933	21507
481	19974	21466
482	20020	21430
483	20063	21389
484	20098	21341
485	20139	21300
486	20178	21255
487	20217	21211
488	20250	21161
489	20301	21129
490	20344	21090
491	20385	21048
492	20422	21002
493	20467	20964
494	20511	20925
495	20556	20887
496	20595	20843
497	20641	20807
498	20681	20764
499	20727	20727
500	20761	20678
501	20798	20633
502	20843	20594
503	20876	20545
504	20917	20503
505	20965	20468
506	21010	20430
507	21055	20392
508	21092	20346
509	21136	20307
510	21178	20267
511	21215	20221
512	21260	20183
513	21305	20144
514	21339	20095
515	21374	20049
516	21402	19995
517	21444	19953
518	21484	19911
519	21522	19866
520	21566	19827
521	21606	19784
522	21636	19733
523	21668	19683
524	21712	19644
525	21752	19601
526	21786	19554
527	21831	19516
528	21870	19472
529	21912	19431
530	21956	19393
531	21987	19342
532	22025	19297
533	22061	19252
534	22108	19215
535	22151	19176
536	22181	19125
537	22219	19080
538	22254	19033
539	22293	18990
540	22341	18955
541	22387	18917
542	22430	18877
543	22473	18838
544	22518	18800
545	22560	18759
546	22595	18712
547	22637	18671
548	22675	18627
549	22719	18588
550	22754	18542
551	22798	18503
552	22832	18456
553	22874	18414
554	22918	18376
555	22961	18335
556	23003	18295
557	23041	18251
558	23076	18204
559	23112	18160
560	23157	18121
561	23196	18078
562	23240	18039
563	23282	17998
564	23327	17959
565	23377	17925
566	23421	17886
567	23464	17846
568	23508	17807
569	23544	17761
570	23587	17721
571	23631	17682
572	23667	17637
573	23709	17596
574	23748	17552
575	23781	17505
576	23827	17468
577	23870	17427
578	23911	17386
579	23953	17345
580	23996	17305
581	24032	17260
582	24076	17220
583	24121	17182
584	24156	17136
585	24200	17097
586	24248	17060
587	24293	17021
588	24333	16980
589	24377	16939
590	24417	16898
591	24454	16853
592	24495	16812
593	24534	16769
594	24576	16728
595	24620	16689
596	24656	16643
597	24697	16602
598	24742	16563
599	24785	16523
600	24827	16483
601	24871	16443
602	24917	16404
603	24956	16362
604	25002	16323
605	25042	16281
606	25084	16240
607	25128	16201
608	25167	16158
609	25205	16115
610	25248	16074
611	25293	16036
612	25340	15997
613	25395	15965
614	25441	15926
615	25470	15877
616	25516	15839
617	25558	15798
618	25601	15758
619	25642	15716
620	25679	15672
621	25715	15627
622	25757	15586
623	25798	15545
624	25843	15505
625	25887	15466
626	25928	15424
627	25965	15381
